--Move Updates--
Made Swords Dance have 20 PP
Made Vine Whip have 45 power and 25 PP
Made Pin Missile have 25 power and 95% accuracy
Made Flamethrower have 90 power
Made Hydro Pump have 110 power
Made Surf have 90 power
Made Ice Beam have 90 power
Made Blizzard have 110 power
Made Growth have 20 PP
Made Thunderbolt have 90 power
Made Thunder have 110 power
Made Minimize have 10 PP
Made Barrier have 20 PP
Made Lick have 30 power
Made Smog have 30 power
Made Fire Blast have 110 power
Made Skull Bash have 130 power and 10 PP
Made Glare have 100% accuracy
Made Poison Gas have 90% accuracy
Made Bubble have 40 power
Made Psywave have 100% accuracy
Made Acid Armor have 20 PP
Made Crabhammer have 100 power
Made Thief have 60 power and 25 PP
Made Snore have 50 power
Made Fury Cutter have 40 power
Made Future Sight have 120 power
Made Heat Wave have 95 power
Made Will-O-Wisp have 85% accuracy
Made SmellingSalt have 70 power
Made Knock Off have 65 power
Made Meteor Mash have 90 power and 90% accuracy
Made Air Cutter have 60 power
Made Overheat have 130 power
Made Rock Tomb have 60 power, 15 PP and 95% accuracy
Made Extrasensory have 20 PP
Made Muddy Water have 90 power
Made Covet have 25 PP
Made Wake-Up Slap have 70 power
Made Tailwind have 15 PP
Made Assurance have 60 power
Made Psycho Shift have 100% accuracy
Made Aura Sphere have 80 power
Made Air Slash have 15 PP
Made Dragon Pulse have 85 power
Made Power Gem have 80 power
Made Energy Ball have 90 power
Made Draco Meteor have 130 power
Made Leaf Storm have 130 power
Made Gunk Shot have 80% accuracy
Made Chatter have 65 power
Made Magma Storm have 100 power
Made Storm Throw have 60 power
Made Synchronoise have 120 power
Made Low Sweep have 65 power
Made Hex have 65 power
Made Incinerate have 60 power
Made Water Pledge have 80 power
Made Fire Pledge have 80 power
Made Grass Pledge have 80 power
Made Struggle Bug have 50 power
Made Frost Breath have 45 power
Made Sacred Sword have 15 PP
Made Hurricane have 110 power
Made Techno Blast have 120 power

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ABILITY3    |ITEM
623|Golurk    |GROUND/GHOST     |  89| 124|  80|  55|  55|  80|Rock Head   |--          |Tinted Lens |
624|Pawniard  |DARK/STEEL       |  45|  85|  70|  60|  40|  40|Water Absorb|--          |Download    |
625|Bisharp   |DARK/STEEL       |  65| 125| 100|  70|  60|  70|Water Absorb|--          |Download    |Pretty Wing (common), Stone Plate (rare)
626|Bouffalant|NORMAL           |  95| 110|  95|  55|  40|  95|Marvel Scale|Pure Power  |Forecast    |Black Sludge (common), Sharp Beak (dark grass only)
627|Rufflet   |NORMAL/FLYING    |  70|  83|  50|  60|  37|  50|Mold Breaker|--          |Inner Focus |Sky Plate (common), Dusk Ball (dark grass only)
628|Braviary  |NORMAL/FLYING    | 100| 123|  75|  80|  57|  75|Mold Breaker|--          |Inner Focus |Prism Scale (common), Choice Specs (rare)
629|Vullaby   |DARK/FLYING      |  70|  55|  75|  60|  45|  65|Suction Cups|Frisk       |Effect Spore|Chill Drive (common)
630|Mandibuzz |DARK/FLYING      | 110|  65| 105|  80|  55|  95|Suction Cups|Frisk       |Effect Spore|
631|Heatmor   |FIRE             |  85|  97|  66|  65| 105|  66|Illuminate  |Tangled Feet|Ice Body    |Max Revive (100%)
632|Durant    |BUG/STEEL        |  58| 109| 112| 109|  48|  48|Ice Body    |--          |Compoundeyes|
633|Deino     |DARK/DRAGON      |  52|  65|  50|  38|  45|  50|Poison Point|--          |Sand Veil   |
634|Zweilous  |DARK/DRAGON      |  72|  85|  70|  58|  65|  70|Poison Point|--          |Sand Veil   |
635|Hydreigon |DARK/DRAGON      |  92| 105|  90|  98| 125|  90|Poison Point|--          |Sand Veil   |Big Nugget (common), Full Restore (rare)
636|Larvesta  |BUG/FIRE         |  55|  85|  55|  60|  50|  55|Rough Skin  |Sand Veil   |Shield Dust |Cover Fossil (rare)
637|Volcarona |BUG/FIRE         |  85|  60|  65| 100| 135| 105|Rough Skin  |Sand Veil   |Shield Dust |Odd Incense (100%)
638|Cobalion  |STEEL/FIGHTING   |  91|  90| 129| 108|  90|  72|Multitype   |--          |Volt Absorb |Soda Pop (100%)
639|Terrakion |ROCK/FIGHTING    |  91| 129|  90| 108|  72|  90|Skill Link  |--          |Super Luck  |Hyper Potion (common)
640|Virizion  |GRASS/FIGHTING   |  91|  90|  72| 108|  90| 129|Sand Veil   |--          |Drought     |
641|Tornadus  |FLYING           |  79| 115|  70| 111| 125|  80|Solid Rock  |Chlorophyll |Bad Dreams  |Protein (common), Max Repel (rare)
642|Thundurus |ELECTRIC/FLYING  |  79| 115|  70| 111| 125|  80|Flower Gift |Ice Body    |Poison Heal |Burn Drive (rare), Splash Plate (dark grass only)
643|Reshiram  |DRAGON/FIRE      | 100| 120| 100|  90| 150| 120|Rough Skin  |Synchronize |Lightningrod|
644|Zekrom    |DRAGON/ELECTRIC  | 100| 150| 120|  90| 120| 100|Synchronize |--          |Keen Eye    |Pass Orb (dark grass only)
645|Landorus  |GROUND/FLYING    |  89| 125|  90| 101| 115|  80|Thick Fat   |--          |Sticky Hold |
646|Kyurem    |DRAGON/ICE       | 125| 130|  90|  95| 130|  90|Synchronize |Shed Skin   |Flower Gift |
647|Keldeo    |WATER/FIGHTING   |  91|  72|  90| 108| 129|  90|Swarm       |--          |Download    |Magmarizer (dark grass only)
648|Meloetta  |NORMAL/PSYCHIC   | 100|  77|  77|  90| 128| 128|Poison Heal |Iron Fist   |Rough Skin  |Fist Plate (100%)
649|Genesect  |BUG/STEEL        |  71| 120|  95|  99| 120|  95|Snow Cloak  |Effect Spore|Liquid Ooze |Icy Rock (common)

--Removing Trade Evolutions--
Made Poliwhirl evolve into Politoed by leveling up holding King's Rock
Made Kadabra evolve into Alakazam at level 37
Made Machoke evolve into Machamp at level 37
Made Graveler evolve into Golem at level 37
Made Slowpoke evolve into Slowking using a Water Stone
Made Haunter evolve into Gengar at level 37
Made Onix evolve into Steelix by leveling up holding Metal Coat
Made Lickitung evolve into Lickilicky at level 33
Made Rhydon evolve into Rhyperior by leveling up holding Protector
Made Tangela evolve into Tangrowth at level 40
Made Seadra evolve into Kingdra by leveling up holding Dragon Scale
Made Scyther evolve into Scizor by leveling up holding Metal Coat
Made Electabuzz evolve into Electivire by leveling up holding Electirizer
Made Magmar evolve into Magmortar by leveling up holding Magmarizer
Made Porygon evolve into Porygon2 by leveling up holding Up-Grade
Made Aipom evolve into Ambipom at level 32
Made Yanma evolve into Yanmega at level 33
Made Piloswine evolve into Mamoswine at level 45
Made Porygon2 evolve into Porygon-Z by leveling up holding Dubious Disc
Made Feebas evolve into Milotic by leveling up holding Prism Scale
Made Dusclops evolve into Dusknoir by leveling up holding Reaper Cloth
Made Clamperl evolve into Huntail by leveling up holding DeepSeaTooth
Made Clamperl evolve into Gorebyss by leveling up holding DeepSeaScale
Made Bonsly evolve into Sudowoodo at level 33
Made Mime Jr. evolve into Mr. Mime at level 15
Made Boldore evolve into Gigalith at level 37
Made Gurdurr evolve into Conkeldurr at level 37
Made Karrablast evolve into Escavalier by leveling up with Shelmet in the party
Made Shelmet evolve into Accelgor by leveling up with Karrablast in the party

--Custom Starters--
Set starter 1 to Lotad
Set starter 2 to Vanillite
Set starter 3 to Slakoth

--Pokemon Movesets--
001 Bulbasaur  : Smog at level 1, Grass Knot at level 3, Poison Fang at level 7, Stun Spore at level 9, Ingrain at level 13, Razor Leaf at level 13, Venoshock at level 15, Cross Poison at level 19, Sludge Bomb at level 21, Leaf Blade at level 25, Sludge Wave at level 27, Toxic at level 31, Spore at level 33, Petal Dance at level 37
002 Ivysaur    : Smog at level 1, Acid at level 1, Mega Drain at level 1, Poison Tail at level 3, Needle Arm at level 7, Cotton Guard at level 9, Sludge at level 13, Venoshock at level 13, Relic Song at level 15, Psyshock at level 20, Sludge Bomb at level 23, Energy Ball at level 28, Ingrain at level 31, Leech Seed at level 36, Petal Dance at level 39, Leaf Storm at level 44
003 Venusaur   : Meditate at level 1, Grass Knot at level 1, Smog at level 1, Mega Drain at level 1, Clear Smog at level 3, Poison Fang at level 7, Magical Leaf at level 9, Horn Leech at level 13, Seed Bomb at level 13, Acid Armor at level 15, Stun Spore at level 20, Sleep Powder at level 23, Toxic Spikes at level 28, Sludge Wave at level 31, Seed Flare at level 32, Petal Dance at level 39, Gunk Shot at level 45, Volt Tackle at level 53
004 Charmander : Disable at level 1, Fire Spin at level 1, Ember at level 7, Fury Attack at level 10, Flame Wheel at level 16, Will-O-Wisp at level 19, Magma Storm at level 25, Swagger at level 28, Sacred Fire at level 34, Mega Kick at level 37, Eruption at level 43, V-create at level 46
005 Charmeleon : Will-O-Wisp at level 1, Ember at level 1, Leaf Tornado at level 1, Fire Fang at level 7, Flame Burst at level 10, Retaliate at level 17, Sketch at level 21, Judgment at level 28, Return at level 32, Fusion Flare at level 39, Blue Flare at level 43, Eruption at level 50, Blast Burn at level 54
006 Charizard  : Fire Spin at level 1, Peck at level 1, Copycat at level 1, Ember at level 1, Gust at level 1, Sky Drop at level 1, Air Cutter at level 1, Horn Leech at level 7, Drill Peck at level 10, Lava Plume at level 17, Secret Sword at level 21, Blaze Kick at level 28, Fusion Flare at level 32, Searing Shot at level 36, Hurricane at level 41, Hi Jump Kick at level 47, Sky Attack at level 56, Blast Burn at level 62, V-create at level 71, Will-O-Wisp at level 77
007 Squirtle   : Aqua Jet at level 1, Flame Charge at level 4, Brine at level 7, Octazooka at level 10, Muddy Water at level 13, Sludge Bomb at level 16, Bug Buzz at level 19, Crabhammer at level 22, Jump Kick at level 25, Hydro Pump at level 28, Quash at level 31, Aqua Ring at level 34, Water Spout at level 37, Rain Dance at level 40
008 Wartortle  : Aqua Jet at level 1, Water Sport at level 1, Comet Punch at level 1, Water Pulse at level 4, Brine at level 7, BubbleBeam at level 10, Razor Shell at level 13, Hyper Fang at level 16, Water Pledge at level 20, Scald at level 24, Iron Tail at level 28, Hydro Pump at level 32, Skull Bash at level 36, Entrainment at level 40, Hydro Cannon at level 44, Sketch at level 48
009 Blastoise  : Aqua Jet at level 1, Aqua Ring at level 1, Bubble at level 1, Water Pulse at level 1, Dizzy Punch at level 1, Psycho Cut at level 4, Razor Shell at level 7, Encore at level 10, Scald at level 13, Water Pledge at level 16, Body Slam at level 20, Substitute at level 24, Aqua Tail at level 28, Water Sport at level 32, Splash at level 39, SmokeScreen at level 46, Crabhammer at level 53, Rain Dance at level 60
010 Caterpie   : Steamroller at level 1, Attack Order at level 1, Bug Buzz at level 15
011 Metapod    : Hex at level 1, Aromatherapy at level 7
012 Butterfree : Rapid Spin at level 1, Leech Life at level 10, Fury Cutter at level 12, FeatherDance at level 12, Silver Wind at level 12, Pluck at level 16, Steamroller at level 18, Chatter at level 22, Air Slash at level 24, Signal Beam at level 28, Pin Missile at level 30, X-Scissor at level 34, Bounce at level 36, String Shot at level 40, Bug Buzz at level 42, Hydro Cannon at level 46
013 Weedle     : Heal Order at level 1, Silver Wind at level 1, U-turn at level 15
014 Kakuna     : Poison Fang at level 1, Silver Wind at level 7
015 Beedrill   : Feint at level 1, Acid Armor at level 10, Poison Gas at level 13, Venoshock at level 16, X-Scissor at level 19, Body Slam at level 22, Psystrike at level 25, Growl at level 28, Mega Kick at level 31, Hyper Beam at level 34, Roar of Time at level 37, Trick at level 40
016 Pidgey     : Pound at level 1, DoubleSlap at level 5, Wing Attack at level 9, Supersonic at level 13, Pluck at level 17, Mirror Move at level 21, Bounce at level 25, Trump Card at level 29, Sacred Sword at level 33, Roost at level 37, Disable at level 41, Hurricane at level 45, Milk Drink at level 49, Endeavor at level 53
017 Pidgeotto  : FeatherDance at level 1, Helping Hand at level 1, DoubleSlap at level 1, Air Cutter at level 5, Aerial Ace at level 9, Sky Drop at level 13, Knock Off at level 17, Defog at level 22, Relic Song at level 27, Air Slash at level 32, Seed Bomb at level 37, Baton Pass at level 42, Brave Bird at level 47, Skull Bash at level 52, Mirror Coat at level 57, Hyper Beam at level 62
018 Pidgeot    : Softboiled at level 1, Wrap at level 1, Peck at level 1, Weather Ball at level 1, Fury Swipes at level 5, Sky Drop at level 9, Wing Attack at level 13, Dragon Tail at level 17, Roost at level 22, Air Cutter at level 27, Drill Peck at level 32, Belly Drum at level 38, Bounce at level 44, Tailwind at level 50, Hurricane at level 56, Memento at level 62, Attract at level 68
019 Rattata    : Pound at level 1, Clear Smog at level 1, SonicBoom at level 4, Retaliate at level 7, Entrainment at level 10, Facade at level 13, Tail Slap at level 16, Hyper Fang at level 19, Mega Punch at level 22, Foresight at level 25, Searing Shot at level 28, Blue Flare at level 31, Hyper Beam at level 34
020 Raticate   : Echoed Voice at level 1, ViceGrip at level 1, Revenge at level 1, Swift at level 1, Shadow Punch at level 1, Spike Cannon at level 4, Screech at level 7, Chip Away at level 10, Cross Poison at level 13, Water Pledge at level 16, Egg Bomb at level 19, Swallow at level 20, Judgment at level 24, Psych Up at level 29, Nature Power at level 34, Double-Edge at level 39, Tail Whip at level 44
021 Spearow    : Swords Dance at level 1, Charge Beam at level 1, Sky Drop at level 5, FeatherDance at level 9, Stomp at level 13, Drill Run at level 17, Glare at level 21, Horn Drill at level 25, Aeroblast at level 29, Disable at level 33, Hurricane at level 37
022 Fearow     : Feint at level 1, Tackle at level 1, ViceGrip at level 1, Aerial Ace at level 1, Pluck at level 1, Shell Smash at level 5, Tailwind at level 9, Round at level 13, Swift at level 17, Air Slash at level 23, Hyper Voice at level 29, Aeroblast at level 35, Defog at level 41, Skull Bash at level 47, Sky Attack at level 53
023 Ekans      : ThunderShock at level 1, False Swipe at level 1, Memento at level 4, Helping Hand at level 9, Toxic at level 12, Poison Fang at level 17, Poison Tail at level 20, Venoshock at level 25, Facade at level 25, Copycat at level 25, Coil at level 28, Sludge Wave at level 33, Judgment at level 36, Skull Bash at level 41, Rage Powder at level 44, Giga Impact at level 49
024 Arbok      : PoisonPowder at level 1, Poison Sting at level 1, Acid Spray at level 1, Toxic Spikes at level 1, Acid at level 1, Sing at level 1, Poison Tail at level 1, Clear Smog at level 4, Sludge at level 9, Volt Switch at level 12, Cross Poison at level 17, Poison Jab at level 20, ExtremeSpeed at level 22, Iron Head at level 27, Natural Gift at level 27, Lucky Chant at level 27, Sludge Bomb at level 32, Sludge Wave at level 39, Acid Armor at level 44, Tickle at level 51, Gunk Shot at level 56, Skull Bash at level 63
025 Pikachu    : Ominous Wind at level 1, Mud Bomb at level 1, Flash at level 5, Thunder Fang at level 10, Magnet Rise at level 13, SmellingSalt at level 18, Chip Away at level 21, Charge at level 26, ThunderPunch at level 29, Sucker Punch at level 34, Wild Charge at level 37, Crabhammer at level 42, Fire Blast at level 45, Blue Flare at level 50
026 Raichu     : Charge Beam at level 1, Double Kick at level 1, Covet at level 1, Fusion Bolt at level 1
027 Sandshrew  : Mud Shot at level 1, Fury Swipes at level 1, Fissure at level 3, Heart Stamp at level 5, Mud Bomb at level 7, Secret Power at level 9, Retaliate at level 11, Mud Sport at level 14, Sand-Attack at level 17, Magnitude at level 20, Tail Whip at level 23, Drill Run at level 26, Lovely Kiss at level 30, Hyper Voice at level 34, Bonemerang at level 38, Aeroblast at level 42, Mega Kick at level 46
028 Sandslash  : Sand Tomb at level 1, GrassWhistle at level 1, Bulldoze at level 1, Bone Club at level 1, Sand-Attack at level 3, Mud Bomb at level 5, Spikes at level 7, Bone Rush at level 9, Drill Run at level 11, Dig at level 14, Focus Energy at level 17, Bug Buzz at level 20, Mud Sport at level 22, Earthquake at level 23, SonicBoom at level 26, Psystrike at level 30, Magnitude at level 34, Sketch at level 38, Bonemerang at level 42, Charm at level 46
029 Nidoran♀   : Poison Tail at level 1, Venoshock at level 1, Trump Card at level 7, Natural Gift at level 9, Heavy Slam at level 13, Slack Off at level 19, Poison Gas at level 21, Cross Poison at level 25, PoisonPowder at level 31, Crush Grip at level 33, Poison Jab at level 37, Coil at level 43, Sludge Bomb at level 45
030 Nidorina   : Poison Gas at level 1, Poison Sting at level 1, Smog at level 7, Vine Whip at level 9, Clear Smog at level 13, ViceGrip at level 20, Sludge at level 23, Acid Armor at level 28, Iron Head at level 35, Hyper Voice at level 38, Sludge Bomb at level 43, Hi Jump Kick at level 50, Gyro Ball at level 58
031 Nidoqueen  : Magnitude at level 1, Mud-Slap at level 1, Sand Tomb at level 1, Poison Fang at level 1, Toxic Spikes at level 23, Mud Shot at level 35, Bonemerang at level 43, Lovely Kiss at level 58
032 Nidoran♂   : Poison Sting at level 1, Water Gun at level 1, Fake Out at level 7, Gastro Acid at level 9, Sludge at level 13, Cross Poison at level 19, Supersonic at level 21, Poison Jab at level 25, Lock-On at level 31, Icicle Crash at level 33, Ice Beam at level 37, Giga Impact at level 43, Toxic Spikes at level 45
033 Nidorino   : Safeguard at level 1, Acid at level 1, Acid Spray at level 7, Poison Tail at level 9, Coil at level 13, Poison Fang at level 20, Venoshock at level 23, Guillotine at level 28, Cross Poison at level 35, Poison Jab at level 38, Sludge Bomb at level 43, Attack Order at level 50, Sludge Wave at level 58
034 Nidoking   : Acid at level 1, Poison Fang at level 1, Clear Smog at level 1, Poison Tail at level 1, Bone Club at level 23, Bonemerang at level 35, Gunk Shot at level 43, Coil at level 58
035 Clefairy   : Snore at level 1, DragonBreath at level 1, Leaf Tornado at level 4, Glare at level 7, Horn Attack at level 10, BubbleBeam at level 13, Lucky Chant at level 16, Mean Look at level 19, Headbutt at level 22, Chip Away at level 25, Crush Claw at level 28, Drill Peck at level 31, Hyper Voice at level 34, Fusion Bolt at level 37, Mega Kick at level 40, Odor Sleuth at level 43, Techno Blast at level 46, Thrash at level 49, Skull Bash at level 52, Giga Impact at level 55, Flail at level 58
036 Clefable   : Block at level 1, Dizzy Punch at level 1, Sharpen at level 1, Hyper Voice at level 1
037 Vulpix     : Shadow Sneak at level 1, Stockpile at level 4, Glare at level 7, Pursuit at level 10, Vital Throw at level 12, Relic Song at level 15, Body Slam at level 18, Sunny Day at level 20, Heat Wave at level 23, Metronome at level 26, Magma Storm at level 28, Sacred Fire at level 31, Fire Blast at level 34, Flare Blitz at level 36, Blue Flare at level 39, Eruption at level 42, Horn Drill at level 44, Blast Burn at level 47, V-create at level 50
038 Ninetales  : Round at level 1, Fire Punch at level 1, Flail at level 1, Lava Plume at level 1, Hammer Arm at level 1
039 Jigglypuff : Snore at level 1, Roar at level 5, Weather Ball at level 9, Swift at level 13, Pain Split at level 17, Thief at level 21, Bone Club at level 25, Growl at level 29, Uproar at level 33, Trump Card at level 37, Assist at level 41, Thunder Wave at level 45, Leer at level 49, Sharpen at level 53
040 Wigglytuff : Snore at level 1, Acrobatics at level 1, Sweet Scent at level 1, Skull Bash at level 1
041 Zubat      : Peck at level 1, Poison Tail at level 4, Substitute at level 8, Sing at level 12, Poison Fang at level 15, Pluck at level 19, Venoshock at level 23, Safeguard at level 26, Acid Armor at level 30, Air Slash at level 34, Drill Peck at level 37, Judgment at level 41, Hurricane at level 45
042 Golbat     : Smog at level 1, Acid Spray at level 1, FeatherDance at level 1, Poison Fang at level 1, Thief at level 4, Sky Drop at level 8, Cross Poison at level 12, Air Slash at level 15, Toxic Spikes at level 19, Gastro Acid at level 24, Drill Run at level 28, Sludge Bomb at level 33, Aeroblast at level 38, Mimic at level 42, Searing Shot at level 47, Poison Gas at level 52
043 Oddish     : Absorb at level 1, Vine Whip at level 5, Needle Arm at level 9, Hyper Fang at level 13, Aromatherapy at level 15, Cotton Spore at level 17, Magic Room at level 21, Grass Knot at level 25, Sludge Wave at level 29, Wood Hammer at level 33, Seed Flare at level 37, Leaf Storm at level 41
044 Gloom      : Cotton Guard at level 1, Absorb at level 1, Clear Smog at level 1, Acid Armor at level 5, Razor Leaf at level 9, Swift at level 13, Leaf Tornado at level 15, Giga Drain at level 17, Grass Pledge at level 23, Gastro Acid at level 29, Seed Bomb at level 35, Sky Uppercut at level 41, SolarBeam at level 47, Wood Hammer at level 53
045 Vileplume  : Razor Leaf at level 1, SolarBeam at level 1, Leaf Storm at level 1, Freeze Shock at level 1, Sleep Powder at level 53, Frenzy Plant at level 65
046 Paras      : Pound at level 1, Fury Cutter at level 6, Bug Bite at level 6, Signal Beam at level 11, Pin Missile at level 17, Flash Cannon at level 22, Spore at level 27, Leaf Blade at level 33, Attack Order at level 38, SolarBeam at level 43, Power Whip at level 49, Megahorn at level 54
047 Parasect   : Struggle Bug at level 1, Bug Bite at level 1, Sky Drop at level 1, Heal Order at level 1, Flame Wheel at level 1, Rage Powder at level 6, Steamroller at level 6, U-turn at level 11, Secret Power at level 17, Signal Beam at level 22, Pin Missile at level 29, Tail Glow at level 37, Attack Order at level 44, Techno Blast at level 51, Megahorn at level 59, SolarBeam at level 66
048 Venonat    : Leech Life at level 1, Toxic Spikes at level 1, Clear Smog at level 1, Struggle Bug at level 5, String Shot at level 11, Acid Armor at level 13, Sludge at level 17, Venoshock at level 23, Cross Poison at level 25, Dizzy Punch at level 29, Pin Missile at level 35, Milk Drink at level 37, Poison Jab at level 41, Dragon Pulse at level 47
049 Venomoth   : Spider Web at level 1, Leech Life at level 1, String Shot at level 1, Acid Spray at level 1, DoubleSlap at level 1, Poison Gas at level 5, Poison Fang at level 11, Twineedle at level 13, Struggle Bug at level 17, Rock Tomb at level 23, Sludge at level 25, Cross Poison at level 29, Signal Beam at level 31, Poison Jab at level 37, X-Scissor at level 41, Sludge Bomb at level 47, Attack Order at level 55, Sludge Wave at level 59, Defend Order at level 63
050 Diglett    : Slash at level 1, U-turn at level 1, Crush Claw at level 4, Dig at level 7, Super Fang at level 12, Frustration at level 15, Earth Power at level 18, Earthquake at level 23, Magnitude at level 26, Foresight at level 29, Mud Sport at level 34, After You at level 37, Fissure at level 40, Techno Blast at level 45
051 Dugtrio    : Mud-Slap at level 1, Sand Tomb at level 1, Tackle at level 1, Bulldoze at level 1, Mud Bomb at level 1, Bone Rush at level 4, Drill Run at level 7, Spikes at level 12, Belly Drum at level 15, Metronome at level 18, Mega Punch at level 23, Dig at level 26, Hyper Voice at level 28, Earth Power at level 33, Super Fang at level 40, Bonemerang at level 45, Gunk Shot at level 50, Sand-Attack at level 57
052 Meowth     : Rapid Spin at level 1, Spike Cannon at level 1, Secret Power at level 6, Body Slam at level 9, Encore at level 14, Crush Grip at level 17, Egg Bomb at level 22, Judgment at level 25, Synchronoise at level 30, Techno Blast at level 33, Wring Out at level 38, Harden at level 41, Skull Bash at level 46, Hyper Beam at level 49, Belly Drum at level 54
053 Persian    : Roar at level 1, Wrap at level 1, Mach Punch at level 1, False Swipe at level 1, Fake Out at level 1, Baton Pass at level 6, Tackle at level 9, Follow Me at level 14, Snore at level 17, Swift at level 22, Glaciate at level 25, Relic Song at level 28, Recycle at level 32, Trump Card at level 37, Mega Kick at level 44, Assist at level 49, Captivate at level 56, Charm at level 61, Selfdestruct at level 68
054 Psyduck    : Feint at level 1, Tackle at level 1, Octazooka at level 4, Brine at level 8, Slash at level 11, SmellingSalt at level 15, Focus Energy at level 18, Razor Shell at level 22, Water Pledge at level 25, Crabhammer at level 29, Stone Edge at level 32, Splash at level 36, Soak at level 39, Hydro Pump at level 43, V-create at level 46, Attract at level 50
055 Golduck    : Clamp at level 1, Bubble at level 1, Recover at level 1, DoubleSlap at level 1, Water Pulse at level 1, Brine at level 4, BubbleBeam at level 8, Aqua Ring at level 11, Razor Shell at level 15, Rain Dance at level 18, Crunch at level 22, Reversal at level 25, Substitute at level 29, Aqua Tail at level 32, Sludge Wave at level 38, Fusion Flare at level 43, Hydro Pump at level 49, Hydro Cannon at level 54, Spit Up at level 60
056 Mankey     : Mach Punch at level 1, Karate Chop at level 1, Storm Throw at level 1, Swift at level 1, Revenge at level 1, Round at level 9, Chip Away at level 13, DynamicPunch at level 17, Seismic Toss at level 21, Aeroblast at level 25, Hammer Arm at level 33, Heal Bell at level 37, Egg Bomb at level 41, Hurricane at level 45, Close Combat at level 49, Focus Blast at level 53
057 Primeape   : Mach Punch at level 1, ViceGrip at level 1, Round at level 1, Force Palm at level 1, Storm Throw at level 1, Circle Throw at level 9, Fire Fang at level 13, Low Sweep at level 17, Wake-Up Slap at level 21, Crush Claw at level 25, Submission at level 28, Sky Uppercut at level 35, Guillotine at level 41, Sacred Sword at level 47, Rock Climb at level 53, DynamicPunch at level 59, Jump Kick at level 63
058 Growlithe  : Will-O-Wisp at level 1, Charge Beam at level 1, Tackle at level 6, Fire Fang at level 8, Moonlight at level 10, Steel Wing at level 12, Tri Attack at level 17, Reflect Type at level 19, Uproar at level 21, Flamethrower at level 23, Heat Wave at level 28, Fusion Flare at level 30, Magma Storm at level 32, Swagger at level 34, Fire Blast at level 39, Flare Blitz at level 41, Freeze Shock at level 43, V-create at level 45
059 Arcanine   : Round at level 1, Incinerate at level 1, Horn Attack at level 1, Energy Ball at level 1, Magma Storm at level 1, Blast Burn at level 34
060 Poliwag    : Ice Ball at level 1, Whirlpool at level 5, Water Pulse at level 8, Water Sport at level 11, Brine at level 15, Psych Up at level 18, Secret Power at level 21, Wish at level 25, Cross Chop at level 28, Jump Kick at level 31, Soak at level 35, Meditate at level 38, Hydro Cannon at level 41
061 Poliwhirl  : Brine at level 1, Soak at level 1, BubbleBeam at level 1, Water Pledge at level 5, Scald at level 8, Tri Attack at level 11, Aqua Ring at level 15, Rain Dance at level 18, Aqua Tail at level 21, Crabhammer at level 27, Acid Armor at level 32, Withdraw at level 37, Hydro Pump at level 43, Hydro Cannon at level 48, Sketch at level 53
062 Poliwrath  : Octazooka at level 1, Night Slash at level 1, Razor Shell at level 1, Aura Sphere at level 1, Water Pledge at level 32, Growth at level 43, Hydro Pump at level 53
063 Abra       : Luster Purge at level 1
064 Kadabra    : Power Trick at level 1, Heart Swap at level 1, Confusion at level 1, Weather Ball at level 16, Psybeam at level 18, Lunar Dance at level 22, Healing Wish at level 24, Steel Wing at level 28, Psycho Cut at level 30, Guillotine at level 34, Gravity at level 36, Mist Ball at level 40, Cosmic Power at level 42, Psyshock at level 46, Extrasensory at level 48, Synchronoise at level 52
065 Alakazam   : Tail Glow at level 1, Light Screen at level 1, Stored Power at level 1, Psywave at level 16, Triple Kick at level 18, Stun Spore at level 22, Rest at level 24, Force Palm at level 28, Psycho Cut at level 30, Iron Head at level 34, Swallow at level 36, Safeguard at level 40, Psystrike at level 42, Power Split at level 46, Power Swap at level 48, Magic Coat at level 52
066 Machop     : Conversion at level 1, Double Kick at level 1, Dragon Dance at level 7, Bestow at level 10, Low Sweep at level 13, Knock Off at level 19, Wake-Up Slap at level 22, Cross Chop at level 25, Substitute at level 31, Close Combat at level 34, Focus Blast at level 37, Hi Jump Kick at level 43, Growth at level 46, Lock-On at level 49
067 Machoke    : Poison Fang at level 1, Storm Throw at level 1, Heart Stamp at level 1, Psybeam at level 1, Quick Guard at level 7, Refresh at level 10, Sweet Kiss at level 13, Slash at level 19, Flail at level 22, Drain Punch at level 25, Bulk Up at level 32, Low Kick at level 36, Discharge at level 40, Superpower at level 44, Roar of Time at level 51, Focus Punch at level 55
068 Machamp    : Rapid Spin at level 1, Milk Drink at level 1, Counter at level 1, Sleep Talk at level 1, Mach Punch at level 1, Arm Thrust at level 7, Karate Chop at level 10, Revenge at level 13, Rolling Kick at level 19, Force Palm at level 22, Brick Break at level 25, Thunderbolt at level 32, Sacred Sword at level 36, Gravity at level 40, Searing Shot at level 44, Focus Punch at level 51, Water Spout at level 55
069 Bellsprout : Poison Sting at level 1, Acid at level 7, Poison Tail at level 11, Worry Seed at level 13, Thunder Fang at level 15, Sludge Wave at level 17, Substitute at level 23, Acid Armor at level 27, Wood Hammer at level 29, Gunk Shot at level 35, Safeguard at level 39, Petal Dance at level 41, Leaf Storm at level 47
